kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 185 : 65792 1011360 0 4112 2056 0 0 0 0 
_1.ptx 186 : 65792 485248 0 0 0 0 0 0 0 
_1.ptx 187 : 65792 776256 0 0 0 0 0 0 0 
_1.ptx 188 : 65792 736000 0 0 0 0 0 0 0 
_1.ptx 189 : 65792 1657088 0 13544 2056 0 0 0 0 
_1.ptx 191 : 65792 676928 0 0 0 0 0 0 0 
_1.ptx 192 : 65792 480416 0 0 0 0 0 0 0 
_1.ptx 193 : 65792 420416 0 0 0 0 0 0 0 
_1.ptx 194 : 65792 479488 0 0 0 0 0 0 0 
_1.ptx 195 : 65792 414432 0 0 0 0 0 0 0 
_1.ptx 196 : 65792 481408 0 0 0 0 0 0 0 
_1.ptx 197 : 65792 415296 0 0 0 0 0 0 0 
_1.ptx 198 : 65792 480384 0 0 0 0 0 0 0 
_1.ptx 199 : 65792 937600 0 0 0 0 0 0 0 
_1.ptx 200 : 65792 487424 0 0 0 0 0 0 0 
_1.ptx 202 : 65792 546944 0 0 0 0 0 0 0 
_1.ptx 203 : 65792 545760 0 0 0 0 0 0 0 
_1.ptx 204 : 65792 551296 0 0 0 0 0 0 0 
_1.ptx 205 : 65792 549408 0 0 0 0 0 0 0 
_1.ptx 206 : 65792 714688 0 4112 2056 0 0 0 0 
_1.ptx 208 : 65792 424704 0 0 0 0 0 0 0 
_1.ptx 210 : 65792 744192 0 0 0 0 0 0 0 
_1.ptx 211 : 65792 1128352 0 4112 2056 0 0 0 0 
_1.ptx 212 : 65792 493024 0 0 0 0 0 0 0 
_1.ptx 213 : 65792 740928 0 0 0 0 0 0 0 
_1.ptx 214 : 65792 739776 0 0 0 0 0 0 0 
_1.ptx 215 : 65792 1870144 0 15041 2056 0 0 0 0 
_1.ptx 217 : 65792 734912 0 0 0 0 0 0 0 
_1.ptx 218 : 65792 1404128 0 4112 2056 0 0 0 0 
_1.ptx 219 : 65792 486112 0 0 0 0 0 0 0 
_1.ptx 220 : 65792 708576 0 0 0 0 0 0 0 
_1.ptx 221 : 65792 736800 0 0 0 0 0 0 0 
_1.ptx 222 : 65792 1936000 0 16269 2056 0 0 0 0 
_1.ptx 224 : 65792 733120 0 0 0 0 0 0 0 
_1.ptx 225 : 65792 1415392 0 4112 2056 0 0 0 0 
_1.ptx 226 : 65792 474592 0 0 0 0 0 0 0 
_1.ptx 227 : 65792 719200 0 0 0 0 0 0 0 
_1.ptx 228 : 65792 731104 0 0 0 0 0 0 0 
_1.ptx 229 : 65792 2038240 0 15933 2056 0 0 0 0 
_1.ptx 231 : 65792 730208 0 0 0 0 0 0 0 
_1.ptx 232 : 65792 1582976 0 4112 2056 0 0 0 0 
_1.ptx 233 : 65792 470880 0 0 0 0 0 0 0 
_1.ptx 234 : 65792 706464 0 0 0 0 0 0 0 
_1.ptx 235 : 65792 730144 0 0 0 0 0 0 0 
_1.ptx 236 : 65792 2482272 0 19631 2056 0 0 0 0 
_1.ptx 238 : 65792 668704 0 0 0 0 0 0 0 
_1.ptx 239 : 65792 474880 0 0 0 0 0 0 0 
_1.ptx 240 : 65792 410624 0 0 0 0 0 0 0 
_1.ptx 241 : 65792 473280 0 0 0 0 0 0 0 
_1.ptx 242 : 65792 406560 0 0 0 0 0 0 0 
_1.ptx 243 : 65792 473120 0 0 0 0 0 0 0 
_1.ptx 244 : 65792 407072 0 0 0 0 0 0 0 
_1.ptx 245 : 65792 472992 0 0 0 0 0 0 0 
_1.ptx 246 : 65792 1044192 0 0 0 0 0 0 0 
_1.ptx 247 : 65792 484608 0 0 0 0 0 0 0 
_1.ptx 249 : 65792 549056 0 0 0 0 0 0 0 
_1.ptx 250 : 65792 551328 0 0 0 0 0 0 0 
_1.ptx 251 : 65792 552192 0 0 0 0 0 0 0 
_1.ptx 252 : 65792 544576 0 0 0 0 0 0 0 
_1.ptx 253 : 65792 903936 0 4112 2056 0 0 0 0 
_1.ptx 255 : 65792 409472 0 0 0 0 0 0 0 
_1.ptx 257 : 65792 995136 0 4112 2056 0 0 0 0 
_1.ptx 258 : 65792 485760 0 0 0 0 0 0 0 
_1.ptx 259 : 65792 724672 0 0 0 0 0 0 0 
_1.ptx 260 : 65792 737088 0 0 0 0 0 0 0 
_1.ptx 261 : 65792 2320224 0 19937 2056 0 0 0 0 
_1.ptx 263 : 65792 1589984 0 4112 2056 0 0 0 0 
_1.ptx 264 : 65792 475808 0 0 0 0 0 0 0 
_1.ptx 265 : 65792 701600 0 0 0 0 0 0 0 
